Nro,Item solicitado,Resultado,Coincidencia en catálogo,Observación
20,"Entrerrosca 1/4 pulgada bronce","COINCIDENCIA SEGURA","Entrerrosca 1/4 pulgada bronce","Coincidencia literal."
21,"Entrerrosca 1/4 gas a 1/2 flare bronce","NO ENCONTRADO","","No existe esa reducción flare en el catálogo activo."
22,"Entrerrosca 1/2 gas a 1/2 flare bronce","COINCIDENCIA SEGURA","Entrerrosca 1/2 x 1/2 bronce FLARE","Coincidencia literal/técnica."
23,"Entrerrosca 1/2 gas a 3/8 flare bronce","COINCIDENCIA SEGURA","Entrerrosca bronce 1/2 x 3/8 FLARE","Coincidencia literal/técnica."
24,"Entrerrosca 3/8 gas a 3/8 flare bronce","NO ENCONTRADO","","No existe esa combinación en el catálogo activo."
25,"Racor 3/4 pulgada a 19 mm bronce","COINCIDENCIA SEGURA","Racor 3/4 pulgada espiga 19mm","Misma especificación."
26,"Racor 1 pulgada a 19 mm","NO ENCONTRADO","Racor M 1 pulgada x25mm bronce | Racor bronce M 1x5/8 manguera","Ninguno confirma espiga de 19 mm."
27,"Tapón 1 pulgada gas bronce","COINCIDENCIA SEGURA","Tapón bronce 1 pulgada","Mismo producto."
28,"Toma de casco 2 pulgadas bronce","COINCIDENCIA SEGURA","Toma pasacasco 2 pulgadas bronce","Mismo producto."
29,"Codo 2 pulgadas M/H bronce","COINCIDENCIA SEGURA","Codo 90° MH bronce 2 pulgadas","Mismo producto."
30,"Caño de poliamida 3000 PSI 3/8 pulgada","COINCIDENCIA SEGURA","Poliamida 3/8 pulgada 3000PSI","Misma especificación."
31,"Esférica 2 pulgadas","COINCIDENCIA SEGURA","Válvula esférica 2 pulgadas HH","Misma medida; el catálogo explicita HH."
32,"Cuchara ranurada para toma 2 pulgadas bronce","NO ENCONTRADO","Cuchara bronce ranurada toma 1 pulgada | Cuchara bronce ranurada toma 1/2 pulgada","No existe en 2 pulgadas."
33,"Rejilla ranurada para toma 1 pulgada bronce","MUY SIMILAR","Cuchara bronce ranurada toma 1 pulgada","Probablemente es el mismo producto con otro nombre; confirmar."
34,"Salida de escape 2 pulgadas a 90° inox","MUY SIMILAR","Salida escape 2 pulgadas","Coincide producto y diámetro, pero el catálogo no confirma 90° ni inoxidable."
35,"Filtro de combustible de grupo 2 RAMA","DUDOSO","Filtro combustible 160RK (grupo) | Filtro combustible 190RK (grupo)","Falta definir si grupo 2 corresponde a 160RK o 190RK."
36,"Llavín 1/4 pulgada H/H","NO ENCONTRADO","","No hay llavines en el catálogo activo."
37,"Racor 1/4 pulgada a espiga 6 mm bronce","COINCIDENCIA SEGURA","Racor 1/4 pulgada espiga 6mm","Misma especificación."
38,"Racor 1/4 pulgada a espiga 10 mm bronce","NO ENCONTRADO","","No existe con espiga 10 mm."
39,"Codo 1/4 pulgada M/H bronce","COINCIDENCIA SEGURA","Codo 90° MH bronce 1/4 pulgada","Mismo producto."
40,"Esférica 1/2 pulgada","COINCIDENCIA SEGURA","Válvula esférica 1/2 pulgada HH","Misma medida; el catálogo explicita HH."
41,"Filtro combustible RAMA 75-190 RKCE doble","NO ENCONTRADO","Filtro combustible 190RK (grupo) | Filtro combustible 160RK (grupo)","No aparece la versión doble 75-190 RKCE."
42,"Venteo 3/4 pulgada","COINCIDENCIA SEGURA","Venteo tanque cromado 3/4 pulgada","Misma medida y función."
43,"Manguera carga combustible Dunlop con alambre, 2 pulgadas interior","MUY SIMILAR","Manguera goma/tela hidrocarburo 2 pulgadas | Manguera goma/alambre Øint=50mm","Un candidato coincide en uso y otro en construcción; confirmar cuál corresponde."
44,"Manguera de venteo 19 mm interior","MUY SIMILAR","Manguera goma/tela hidrocarburo 3/4 pulgada","3/4 equivale a 19,05 mm, pero el catálogo no explicita uso como venteo."
45,"Abrazadera inox para manguera 70-80 mm / 2 pulgadas","DUDOSO","Abrazaderas 76,5mm | Abrazadera inox sup-pres 50-70mm","La descripción solicitada mezcla 70-80 mm con 2 pulgadas; confirmar medida real."
46,"Abrazadera inox para manguera 19 mm interior","COINCIDENCIA SEGURA","Abrazadera inox 3/4 pulgada","3/4 equivale a 19,05 mm."
47,"Manguera goma y tela 127 mm interior","COINCIDENCIA SEGURA","Manguera goma y tela 5 pulgadas int.","5 pulgadas equivale a 127 mm."
48,"Abrazadera inox para manguera 50 a 75 mm","MUY SIMILAR","Abrazadera inox sup-pres 50-70mm | Abrazaderas 76,5mm","No hay rango exacto 50-75 mm."
49,"Manguera transparente 10 mm interior","COINCIDENCIA SEGURA","Manguera cristal hidrocarburo 10mm","Cristal es la denominación usada en catálogo para transparente."
50,"Luces cuadradas","DUDOSO","Luces cuadradas techo blanco cálido | Luz techo LED inox cuadrada chica | Luz techo LED inox cuadrada grande","Falta tamaño, uso y temperatura/color."
51,"Luz de cortesía blanca fría","MUY SIMILAR","LUCES CORTESIA BLANCA | Luz cortesía blanca 3LED oval cromado","Coincide función/color general, pero no se confirma luz fría ni formato."
52,"Luz cuadrada chica roja","NO ENCONTRADO","Luz techo LED inox cuadrada chica | Luz banda ROJA led","Un candidato coincide en forma y otro en color, ninguno en ambos."
53,"Batería 12V 200Ah","NO ENCONTRADO","Baterías 12V 180Ah","No usar 180Ah como reemplazo automático de 200Ah."
54,"Batería 12V 110Ah","COINCIDENCIA SEGURA","Baterías 12V 110Ah","Coincidencia literal/técnica."
55,"TV 43 pulgadas Samsung Serie 7","MUY SIMILAR","TV 43 pulgadas (variantes Samsung T5300 / Samsung Full HD F600) | TV 43 FULL HD T5300","Coincide tamaño y marca, pero Serie 7 no aparece; confirmar modelo."
56,"TV 32 pulgadas Samsung Serie 7","MUY SIMILAR","TV 32 pulgadas Smart (variantes Samsung / LG) | TV 32 pulgadas HD H5000 Smart","Coincide tamaño y marca posible, pero Serie 7 no aparece; confirmar modelo."
