excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision
99;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;97c11bea-c6cd-4c3e-af70-f29bfe269bba;"Codo 90° MH bronce 1""";1.000;"Codo 90ª MH bronce 1""";1;Unidades;5;0;0;Casa Iriarte;Sanitarios;PX COD90MH11/2;STD;match difuso: no fusionar automatico
100;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;121fc3b6-26b3-4ceb-9de0-3d4a9b5201d2;"Codo 90° MH bronce 1/2""";1.000;"Codo 90ª MH bronce 1/2""";8;Unidades;13;0;0;Casa Iriarte;Sanitarios;C 116 1/2 FU;STD;match difuso: no fusionar automatico
101;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;f1b5cc19-0a95-434c-a0ce-5a993ee365ce;"Codo 90° MH bronce 3/4""";1.000;"Codo 90ª MH bronce 3/4""";2;Unidades;3;0;0;Casa Iriarte;Sanitarios;C 116 1 FU;STD;match difuso: no fusionar automatico
102;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;0947a975-ad91-4077-b204-9a170e1baa5d;"Codo 90º MH plástico 1/2"" x 1""";0.833;"Codo 90ª MH plastico 1 1/2""";1;Unidades;1;0;0;Casa Iriarte;Sanitarios;PX COD90MH11/2;STD;match difuso: no fusionar automatico
117;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;553320db-1284-4a14-ae5d-d01a79ac7619;"Cuchara bronce ranurada toma 1""";0.667;"Cuchara bronce ranurada toma 1/2""";1;Unidades;1.0;0;0;;Sanitarios;OPCIONAL DUCHADOR Y BOMBA DE RIO;STD;match difuso: no fusionar automatico
119;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;8d14e4c9-52d3-434f-b91a-ae8a5eeaff0f;"Cupla Inoxidable 1/2""";1.000;"Cupla Inoxidable 1 1/2""";1;Unidades;7;0;0;;Mecanica;TANQUES;STD;match difuso: no fusionar automatico
120;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;83c43781-5008-4e3b-b451-d9f3a5d004ae;"Cupla Inoxidable 1/4""";1.000;"Cupla Inoxidable 1 1/4""";3;Unidades;4;0;0;;Mecanica;TANQUES;STD;match difuso: no fusionar automatico
127;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;3a4d36e9-6091-407e-900d-d5d58dfc82d6;Defensas blancas con cabo negro 8mm - 2m;0.750;Defensas blancas con cabo negro 8mm - 4m;6;Unidades;6;0;0;;;;STD;match difuso: no fusionar automatico
133;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;15697ffb-8175-4841-93ff-0a3f929ef260;Ducha con barral FV Polca;0.667;Duchador con barral FV Polca;2;Unidades;1.0;0;0;;;Griferia 2 baños;STD;match difuso: no fusionar automatico
164;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;d41e6b99-e9b8-4afb-a577-322d9fe27489;Giratorio gusano cadena 6-8mm;0.600;Giratorio gusano cadena 10-12mm;1;Unidades;1.0;0;0;;;Fondeo;STD;match difuso: no fusionar automatico
209;OPC;NO_MATRIZ;PROBABLE;ea15a6a2-1a99-44c3-9b1e-873c08f9b4b0;"Toma pasacasco 1 1/2"" bronce";0.750;"Pasacasco 1/2"" bronce";1;Unidades;1;0;0;;Sanitarios;OPCIONAL DUCHADOR Y BOMBA DE RIO;OPC;match difuso: no fusionar automatico | clasificacion OPC: no matriz base
235;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;1189ea8e-5324-4c55-ad73-6db2c4770989;"Racor bronce M espiga 1""";0.600;"Racor M 1"" x 25mm bronce";2;Unidades;1.0;0;0;Casa Iriarte;Sanitarios;C127 1X1 FU LR;STD;match difuso: no fusionar automatico
268;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;dcc4472d-67f8-4206-8dba-5f6f93f16dd7;Soporte pared TV;0.750;Soporte pared TV brazo;1;Unidades;2.0;0;0;;Carpinteria;"Camarote MEDIO, TV 24""";STD;match difuso: no fusionar automatico
275;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;c37d1eed-af4c-4ee0-bf20-33c9dd8f487d;"T plástica espiga 1/2""";1.000;"T plástica espiga 1 1/2""";2;Unidades;1.0;0;0;Casa Iriarte;Sanitarios;PX TEERAC11/2F;STD;match difuso: no fusionar automatico
285;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;4ceb1c17-382c-45e6-bdb9-de56e2d54d71;"Tapa tanque agua 1 1/2"" cromada c/venteo";0.714;"Tapa tanque waste 1 1/2"" cromada c/venteo";1;Unidades;1;0;0;Flojumar;Sanitarios;FORESTI SUARDI;STD;match difuso: no fusionar automatico
306;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;5abeafdc-f75b-4ebe-a000-880cfe189716;"TV 32"" Smart";0.600;"TV 32"" Hd H5000 Smart";1;Unidades;1.0;0;0;;Electricidad;TV Camarote PROA;STD;match difuso: no fusionar automatico
311;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;892278e1-53d9-45f0-959d-939ebeccd36c;"Union rosca M 1/2"" WHALE WX1514";0.667;"Union rosca H 1/2"" WHALE WX1532";23;Unidades;1;0;0;;Sanitarios;ITEM WHALE;STD;match difuso: no fusionar automatico
314;OPC;NO_MATRIZ;PROBABLE;892278e1-53d9-45f0-959d-939ebeccd36c;"Union rosca M 1/2"" WHALE WX1514";0.625;"Union rosca M 1/2"" WHALE WX1514 - opcional duchador rio";1;Unidades;1;0;0;;Sanitarios;OPCIONAL DUCHADOR Y BOMBA DE RIO;OPC;match difuso: no fusionar automatico | clasificacion OPC: no matriz base
322;STD;REVISAR_ANTES_DE_MATRIZ;PROBABLE;48c22565-86af-46cb-8137-68a085227de7;"Válvula esférica 1 1/2"" HH";0.600;"Válvula esférica 3/4"" HH";2;Unidades;2;0;0;Casa Iriarte;Sanitarios;VAE3/4J;STD;match difuso: no fusionar automatico
