excel_row;cantidad;unidad;flag_original;clasificacion;obras_flag;item_original;descripcion_normalizada;observacion;proveedor;sistema_plano;rubro;flag_bool;55_1;55_2;55_3;55_4;notas_sugeridas;dudas;destino_preliminar
131;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Divisor de carga 80A (tiene que tener línea de compensación para el alternador como el Victron Argodiodo 80-2AC);divisor de carga 80a (tiene que tener linea de compensacion para el alternador como el victron argodiodo 80-2ac);;;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;obra_especifica
134;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Duchador de mano NEGRO + Codo pared;duchador de mano negro + codo pared;;;Sist. Agua;;True;NO VA;Especificar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Especificar";modelo/definicion pendiente | sin rubro;obra_especifica
136;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Duchador Mano Piazza Lujo D0105ne + Sop Toma Flex 1.5m Negro;duchador mano piazza lujo d0105ne + sop toma flex 1.5m negro;;MercadoLibre;Sist. Agua;Sanitarios;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";;obra_especifica
139;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;ELECTROVALVULA 12V ORIGINAL;electrovalvula 12v original;;Flojumar;Sist. Sanitario;Electricidad;False;;;;;Sistema/Plano: Sist. Sanitario;;obra_especifica
161;2;Unidades;55-3/4;OBRA_ESPECIFICA;55-3;Footswich Maxwell con tapa heavy duty grande;footswich maxwell con tapa heavy duty grande;;Trimer;Alistamiento;Electricidad;False;NO VA;NO VA;Pedido;Pedido;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=NO VA; 55-2=NO VA; 55-3=Pedido; 55-4=Pedido";;obra_especifica
165;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Grill KENION;grill kenion;;Flojumar;Electrodomesticos;Electricidad;False;En Chubut;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut;;obra_especifica
166;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Heladera BOSCH KIN86ADD0;heladera bosch kin86add0;;;Electrodomesticos;Electricidad;False;NO VA;Pedido;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=NO VA; 55-2=Pedido";posible marca/variante;obra_especifica
167;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Heladera Whirpool WRE25AB PANELABLE - SOLO barco 1;heladera whirpool wre25ab panelable - solo barco 1;;;Electrodomesticos;Electricidad;False;En Chubut;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut;solo obra especifica;obra_especifica
168;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;HOLDING TANK MATROMARINE ITALIANO 103 LITROS 12V;holding tank matromarine italiano 103 litros 12v;;Flojumar;Sist. Sanitario;Sanitarios;False;En Chubut;NO VA;NO VA;NO VA;"Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=En Chubut; 55-2=NO VA; 55-3=NO VA; 55-4=NO VA";;obra_especifica
169;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;HOLDING TANK MATROMARINE ITALIANO 73 LITROS 12V;holding tank matromarine italiano 73 litros 12v;;Flojumar;Sist. Sanitario;Sanitarios;False;;;;;Sistema/Plano: Sist. Sanitario;;obra_especifica
177;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Juego monocomando para bañera y ducha Epuyén 0106/L2 NEGRO;juego monocomando para banera y ducha epuyen 0106/l2 negro;;;Sist. Agua;;False;NO VA;Comprar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Comprar";sin rubro;obra_especifica
179;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Juego monocomando para lavatorio Epuyén 0206/L2 Negro;juego monocomando para lavatorio epuyen 0206/l2 negro;;;Sist. Agua;;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";sin rubro;obra_especifica
180;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Lavaropas LG inverter carga frontal;lavaropas lg inverter carga frontal;;;Electrodomesticos;Electricidad;False;NO VA;Comprar;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=NO VA; 55-2=Comprar";posible marca/variante;obra_especifica
181;1;Unidades;55-1/2;OBRA_ESPECIFICA;55-1;Lavavajillas Bosch SMV2ITX09E;lavavajillas bosch smv2itx09e;;;Electrodomesticos;Electricidad;False;En Chubut;Comprar;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut; 55-2=Comprar";posible marca/variante;obra_especifica
194;1;Unidades;55-3/4;OBRA_ESPECIFICA;55-3;Malacate Maxwell RC10 12V INOX;malacate maxwell rc10 12v inox;;Trimer;Alistamiento;Electricidad;False;NO VA;NO VA;Pedido;Pedido;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=NO VA; 55-2=NO VA; 55-3=Pedido; 55-4=Pedido";;obra_especifica
201;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Motor Volvo D11-725 70112078912//29;motor volvo d11-725 70112078912//29;;;Sist. Motor;Mecanica;False;;;;;Sistema/Plano: Sist. Motor;;obra_especifica
207;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Panel de control Tecma thetford before/after;panel de control tecma thetford before/after;;Flojumar;Sist. Sanitario;Sanitarios;False;En Chubut;NO VA;NO VA;NO VA;"Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=En Chubut; 55-2=NO VA; 55-3=NO VA; 55-4=NO VA";;obra_especifica
213;4;Unidades;55-2;OBRA_ESPECIFICA;55-2;Percha Epuyén 0166/L2 Negro;percha epuyen 0166/l2 negro;;;Sist. Agua;;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";sin rubro;obra_especifica
220;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Planchada extensible para bajar a Punta (1mt mas);planchada extensible para bajar a punta (1mt mas);;;Alistamiento;Electricidad;True;Revisar;NO VA;;;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=Revisar; 55-2=NO VA";;obra_especifica
223;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Plotters 55-1;plotters 55-1;;;Alistamiento;Electricidad;False;Comprar;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=Comprar;;obra_especifica
225;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Portarrollo Epuyén 0167/L2 Negro;portarrollo epuyen 0167/l2 negro;;;Sist. Agua;;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";sin rubro;obra_especifica
262;1;Unidades;55-3/4;OBRA_ESPECIFICA;55-3;"Sistema FLAP Bennett 24 X 12 "" Doble estacion";"sistema flap bennett 24 x 12 "" doble estacion";;Trimer;Alistamiento;Mecanica;False;NO VA;NO VA;Pedido;Pedido;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=NO VA; 55-2=NO VA; 55-3=Pedido; 55-4=Pedido";;obra_especifica
263;1;Unidades;55-1/2;OBRA_ESPECIFICA;55-1;"Sistema FLAP Lenco 24 x 16 "" Doble piston";"sistema flap lenco 24 x 16 "" doble piston";;Flojumar;Alistamiento;Mecanica;False;En Chubut;Revisar;NO VA;NO VA;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut; 55-2=Revisar; 55-3=NO VA; 55-4=NO VA";;obra_especifica
264;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Solenoide Blue Sea L-Series - 250A 12/24V;solenoide blue sea l-series - 250a 12/24v;;;Alistamiento;Electricidad;True;Comprar;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=Comprar;;obra_especifica
288;2;Unidades;55-1/2/3;OBRA_ESPECIFICA;55-1;Tender lift OPACMARE 5220_90_09;tender lift opacmare 5220_90_09;;;Alistamiento;;False;En Chubut;Revisar;Revisar;NO VA;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut; 55-2=Revisar; 55-3=Revisar; 55-4=NO VA";sin rubro;obra_especifica
294;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Toallero Epuyén 0163/L2 Negro;toallero epuyen 0163/l2 negro;;;Sist. Agua;;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";sin rubro;obra_especifica
309;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;"TV SAMSUNG 55"" QLED Q6F 4K Smart";"tv samsung 55"" qled q6f 4k smart";;;Electrodomesticos;Electricidad;False;Comprar;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=Comprar;posible marca/variante;obra_especifica
316;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;"Valvula de desvio ""y"" Matromarine italiana";"valvula de desvio ""y"" matromarine italiana";;Flojumar;Sist. Sanitario;Sanitarios;False;En Chubut;NO VA;NO VA;NO VA;"Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=En Chubut; 55-2=NO VA; 55-3=NO VA; 55-4=NO VA";;obra_especifica
323;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;VHF con AIS;vhf con ais;;;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;obra_especifica
