excel_row;cantidad;unidad;flag_original;clasificacion;obras_flag;item_original;descripcion_normalizada;observacion;proveedor;sistema_plano;rubro;flag_bool;55_1;55_2;55_3;55_4;notas_sugeridas;dudas;destino_preliminar
39;8;Unidades;STD;STD;;Bitas K55;bitas k55;;Maxi Herrero;Herrajes Std.;Carpinteria;False;Comprar;;;;Sistema/Plano: Herrajes Std. | Estado por obra: 55-1=Comprar;proveedor nuevo Maxi Herrero;matriz_k55
40;1;Unidades;STD;STD;;Bocina Marinco doble INOX electrica 12v;bocina marinco doble inox electrica 12v;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
41;3;Unidades;STD;STD;;Bomba achique 2000gph 12V;bomba achique 2000gph 12v;;Flojumar;Achique;Electricidad;False;En Barco;;;;Sistema/Plano: Achique | Estado por obra: 55-1=En Barco;;matriz_k55
42;1;Unidades;STD;STD;;Bomba achique 4000gph 12V;bomba achique 4000gph 12v;;Flojumar;Achique;Electricidad;False;;;;;Sistema/Plano: Achique;;matriz_k55
43;4;Unidades;STD;STD;;Bomba aire acondicionado 220v 500gph;bomba aire acondicionado 220v 500gph;;Flojumar;Sist. A.C.;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. A.C. | Estado por obra: 55-1=En Chubut;;matriz_k55
44;1;Unidades;STD;STD;;Bomba dual 10.4gpm 12v johnson pump;bomba dual 10.4gpm 12v johnson pump;;Flojumar;Sist. Agua;Electricidad;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
45;1;Unidades;OPC;OPC;;Bomba p/duchador agua de rio;bomba p/duchador agua de rio;;;Opcional;Sanitarios;False;;;;;Sistema/Plano: Opcional;clasificacion OPC;revisar_no_matriz
46;44;Metros;STD;STD;;Botazo plástico blanco;botazo plastico blanco;;;Alistamiento;;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;sin rubro;matriz_k55
47;1;Unidades;55-3/4;OBRA_ESPECIFICA;55-3;Bowthruster Sleipner side-power 160kh 12V + STERN;bowthruster sleipner side-power 160kh 12v + stern;;Trimer;Alistamiento;Electricidad;True;NO VA;NO VA;Pedido;Pedido;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=NO VA; 55-2=NO VA; 55-3=Pedido; 55-4=Pedido";;obra_especifica
48;1;Unidades;VAR;VAR;;BOWTHURSTER QUICK DOBLE HELICE 6,5 KW 250MM 12V;bowthurster quick doble helice 6,5 kw 250mm 12v;;Flojumar;Alistamiento;Electricidad;True;;;;;Sistema/Plano: Alistamiento;clasificacion VAR | posible marca/variante;revisar_no_matriz
49;2;Unidades;STD;STD;;"Brida cuadrada inox 316, medidas 300 mm interior x 400 mm exterior, espesor = 1/4""";"brida cuadrada inox 316, medidas 300 mm interior x 400 mm exterior, espesor = 1/4""";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
50;2;Unidades;STD;STD;;Brida de 100 mm interior x 160 mm exterior x 3/8. Inox 316;brida de 100 mm interior x 160 mm exterior x 3/8. inox 316;;;Sist. Motor;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Motor | Estado por obra: 55-1=En Chubut;;matriz_k55
51;2;Unidades;STD;STD;;"Brida de 85 mm interior x 160 mm exterior x 3/8"". Inox 316";"brida de 85 mm interior x 160 mm exterior x 3/8"". inox 316";;;Sist. Motor;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Motor | Estado por obra: 55-1=En Chubut;;matriz_k55
52;2;Unidades;STD;STD;;Bridas inox + bocina mecanizada y perforada;bridas inox + bocina mecanizada y perforada;;Flojumar;;Mecanica;False;;;;;;;matriz_k55
53;1;Unidades;STD;STD;;"Buje reduc. 1 1/2"" x 1"" plástico";"buje reduc. 1 1/2"" x 1"" plastico";;Casa Iriarte;;Sanitarios;False;;;;;;;matriz_k55
54;2;Unidades;STD;STD;;"Buje reduc. 1 1/2"" x 3/4"" plástico";"buje reduc. 1 1/2"" x 3/4"" plastico";;Casa Iriarte;;Sanitarios;False;;;;;;;matriz_k55
55;4;Unidades;STD;STD;;"Buje reduc. 1 1/4"" x 1"" plástico";"buje reduc. 1 1/4"" x 1"" plastico";;Casa Iriarte;;Sanitarios;False;;;;;;;matriz_k55
56;2;Unidades;STD;STD;;"Buje reduc. 1"" x 3/4"" plástico";"buje reduc. 1"" x 3/4"" plastico";;Casa Iriarte;;Sanitarios;False;;;;;;;matriz_k55
57;2;Unidades;STD;STD;;"Buje reduc. 3/4"" x 1/2"" plástico";"buje reduc. 3/4"" x 1/2"" plastico";;Casa Iriarte;;Sanitarios;False;;;;;;;matriz_k55
58;3;Unidades;STD;STD;;"Bujes de bronce y goma para eje de 2 3/4""";"bujes de bronce y goma para eje de 2 3/4""";;Parra;Sist. Motor;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Motor | Estado por obra: 55-1=En Chubut;;matriz_k55
59;4;Unidades;OPC;OPC;;Cable alargue Quick 12 metros;cable alargue quick 12 metros;;Flojumar;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;clasificacion OPC | posible marca/variante;revisar_no_matriz
60;12;Metros;STD;STD;;Cable tipo Marinco 3x10mm;cable tipo marinco 3x10mm;;Flojumar;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;;matriz_k55
61;2;Unidades;OPC;OPC;;Cable y derivacion 2 estaciones Quick;cable y derivacion 2 estaciones quick;;Flojumar;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;clasificacion OPC | posible marca/variante;revisar_no_matriz
62;1;Unidades;STD;STD;;Cableado A salon K55;cableado a salon k55;;;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;;matriz_k55
63;1;Unidades;STD;STD;;Cableado B camarote principal K55;cableado b camarote principal k55;;;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;;matriz_k55
64;1;Unidades;STD;STD;;Cableado C cocina K55;cableado c cocina k55;;;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;;matriz_k55
65;1;Unidades;STD;STD;;Cableado D camarote de proa K55;cableado d camarote de proa k55;;;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;;matriz_k55
66;4;Unidades;STD;STD;;Cabos 18mm x 12m negro;cabos 18mm x 12m negro;;;Alistamiento;;False;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
67;50;Metros;STD;STD;;Cadena 10mm calibrada galvanizada;cadena 10mm calibrada galvanizada;;Flojumar;Alistamiento;Mecanica;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
68;2;Unidades;STD;STD;;Caja drenaje ducha 1000 GPH;caja drenaje ducha 1000 gph;;Flojumar;Sist. Agua;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Agua | Estado por obra: 55-1=En Chubut;;matriz_k55
69;1;Unidades;STD;STD;;Caja paso Roker Pr1005;caja paso roker pr1005;;;Sist. Electrico;Electricidad;False;En Barco;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Barco;;matriz_k55
70;4;Unidades;STD;STD;;Caja paso Roker Pr1010/106;caja paso roker pr1010/106;;;Sist. Electrico;Electricidad;False;En Barco;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Barco;;matriz_k55
71;3;Unidades;STD;STD;;Cajas exteriores cambre;cajas exteriores cambre;;;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;;matriz_k55
72;2;Unidades;STD;STD;;Calefactor Autoterm Air 4D 12V 4000W;calefactor autoterm air 4d 12v 4000w;;Baron;Sist. A.C.;Sanitarios;True;Comprar;Comprar;Comprar;;"Sistema/Plano: Sist. A.C. | Estado por obra: 55-1=Comprar; 55-2=Comprar; 55-3=Comprar";;matriz_k55
73;56;Metros;STD;STD;;"Cañeria termofusion 1""";"caneria termofusion 1""";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
74;1;Unidades;STD;STD;;Canilla de bacha flybridge;canilla de bacha flybridge;;Baron;Sist. Agua;;False;;;;;Sistema/Plano: Sist. Agua;sin rubro;matriz_k55
75;1;Unidades;STD;STD;;Canilla de cocina;canilla de cocina;;MercadoLibre;Sist. Agua;Sanitarios;False;Comprar;NO VA;Revisar;Revisar;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Comprar; 55-2=NO VA; 55-3=Revisar; 55-4=Revisar";;matriz_k55
76;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Canilla de cocina - COLOR NEGRO;canilla de cocina - color negro;;MercadoLibre;Sist. Agua;Sanitarios;False;NO VA;Comprar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Comprar";;obra_especifica
77;10;Metros;STD;STD;;"Caño corrugado flex 1""";"cano corrugado flex 1""";;;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;;matriz_k55
78;1;Unidades;STD;STD;;Caño D. exterior = 90 mm, e = 4 mm, L = 1100 mm. Inox 316;cano d. exterior = 90 mm, e = 4 mm, l = 1100 mm. inox 316;;;Sist. Motor;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Motor | Estado por obra: 55-1=En Chubut;;matriz_k55
79;1.5;Metros;STD;STD;;"Caño inox 316 de 1/2"", L = 1,5 m";"cano inox 316 de 1/2"", l = 1,5 m";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
80;3;Metros;STD;STD;;"Caño inox 316 de 3/4"", L = 3 m";"cano inox 316 de 3/4"", l = 3 m";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
81;2;Unidades;STD;STD;;"CAÑO POLIAMIDA REFORZADO DE 1/4""";"cano poliamida reforzado de 1/4""";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
82;4;Unidades;STD;STD;;"Caño schedule 80, 3 1/2"" nominal, L = 285 mm Inox 316";"cano schedule 80, 3 1/2"" nominal, l = 285 mm inox 316";;;Sist. Motor;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Motor | Estado por obra: 55-1=En Chubut;;matriz_k55
83;1;Unidades;STD;STD;;Cargador inversor Victron Multiplus 12V 3000W;cargador inversor victron multiplus 12v 3000w;;Flojumar;Sist. Electrico;Electricidad;False;En Barco;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Barco;;matriz_k55
84;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Cargador Victron Centaur 24v 60A de 3 salidas;cargador victron centaur 24v 60a de 3 salidas;;;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;obra_especifica
85;1;Unidades;STD;STD;;Catalina de fondeo K55;catalina de fondeo k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
86;1;Unidades;STD;STD;;CAVA 8 BOTELLAS PHILCO - PHCAV08N2;cava 8 botellas philco - phcav08n2;;;Electrodomesticos;Electricidad;False;Pedido;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=Pedido;;matriz_k55
87;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Cava VONDOM T8;cava vondom t8;;;Electrodomesticos;Electricidad;False;NO VA;Comprar;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=NO VA; 55-2=Comprar";;obra_especifica
88;7;Unidades;VAR;VAR;;Cerraduras de puertas BRONZEN (K55);cerraduras de puertas bronzen (k55);;;Muebles;;False;Comprar;NO VA;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=Comprar; 55-2=NO VA";clasificacion VAR | sin rubro;revisar_no_matriz
89;6;Unidades;VAR;VAR;;Cerraduras de puertas BRONZEN (K55) - OPCIONAL sin vestidor;cerraduras de puertas bronzen (k55) - opcional sin vestidor;;;Muebles;;False;NO VA;Comprar;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=NO VA; 55-2=Comprar";clasificacion VAR | sin rubro;revisar_no_matriz
90;1;Unidades;STD;STD;;Cerramiento completo (Lona);cerramiento completo (lona);;;Alistamiento;;True;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
91;1.5;Metros;STD;STD;;Chapa de inox 316 de 3 x 1,5 m, espesor = 2 mm;chapa de inox 316 de 3 x 1,5 m, espesor = 2 mm;;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
92;1;Unidades;STD;STD;;Chapa de proa K55;chapa de proa k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
93;2;Unidades;STD;STD;;Chapas de inox 316 de 2 x 1,25 m, espesor = 2 mm;chapas de inox 316 de 2 x 1,25 m, espesor = 2 mm;;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
94;2;Unidades;STD;STD;;Chapas de inox 316 de 2 x 1,25 m, espesor = 3 mm;chapas de inox 316 de 2 x 1,25 m, espesor = 3 mm;;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
95;5;Unidades;STD;STD;;Chapas de inox 316 de 3 x 1,5 m, espesor = 3 mm;chapas de inox 316 de 3 x 1,5 m, espesor = 3 mm;;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
96;2;Unidades;STD;STD;;"Chapas inox 316 de 400 x 400 mm, espesor = 1/4""";"chapas inox 316 de 400 x 400 mm, espesor = 1/4""";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
97;8;Unidades;STD;STD;;"Codo 90° HH bronce 1""";"codo 90° hh bronce 1""";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
98;1;Unidades;STD;STD;;"Codo 90° HH plastico 1 1/4""";"codo 90° hh plastico 1 1/4""";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
99;1;Unidades;STD;STD;;"Codo 90ª MH bronce 1""";"codo 90ª mh bronce 1""";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
100;8;Unidades;STD;STD;;"Codo 90ª MH bronce 1/2""";"codo 90ª mh bronce 1/2""";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
101;2;Unidades;STD;STD;;"Codo 90ª MH bronce 3/4""";"codo 90ª mh bronce 3/4""";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
102;1;Unidades;STD;STD;;"Codo 90ª MH plastico 1 1/2""";"codo 90ª mh plastico 1 1/2""";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
103;2;Unidades;STD;STD;;Compas magnético reglamentario (negro);compas magnetico reglamentario (negro);;;Alistamiento;;False;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
104;11;Unidades;STD;STD;;"Conector ""T"" c/espiga WHALE WX1521";"conector ""t"" c/espiga whale wx1521";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
105;21;Unidades;STD;STD;;"Conector ""T"" WHALE WX1502";"conector ""t"" whale wx1502";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
106;10;Unidades;STD;STD;;Conector Codo c/espiga WHALE WX1522;conector codo c/espiga whale wx1522;;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
107;6;Unidades;STD;STD;;Conector Codo WHALE WX1503;conector codo whale wx1503;;Trimer;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
108;6;Unidades;STD;STD;;"Conector rosca H termofusion 1""";"conector rosca h termofusion 1""";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
109;1;Unidades;VAR;VAR;;Control con indicador segunda estacion Lenco;control con indicador segunda estacion lenco;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;clasificacion VAR;revisar_no_matriz
110;1;Unidades;VAR;VAR;;Control faro segunda estacion Marinco;control faro segunda estacion marinco;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;clasificacion VAR;revisar_no_matriz
