excel_row;cantidad;unidad;flag_original;clasificacion;obras_flag;item_original;descripcion_normalizada;observacion;proveedor;sistema_plano;rubro;flag_bool;55_1;55_2;55_3;55_4;notas_sugeridas;dudas;destino_preliminar
39;8;Unidades;STD;STD;;Bitas K55;bitas k55;;Maxi Herrero;Herrajes Std.;Carpinteria;False;Comprar;;;;Sistema/Plano: Herrajes Std. | Estado por obra: 55-1=Comprar;proveedor nuevo Maxi Herrero;matriz_k55
44;1;Unidades;STD;STD;;Bomba dual 10.4gpm 12v johnson pump;bomba dual 10.4gpm 12v johnson pump;;Flojumar;Sist. Agua;Electricidad;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
45;1;Unidades;OPC;OPC;;Bomba p/duchador agua de rio;bomba p/duchador agua de rio;;;Opcional;Sanitarios;False;;;;;Sistema/Plano: Opcional;clasificacion OPC;revisar_no_matriz
46;44;Metros;STD;STD;;Botazo plástico blanco;botazo plastico blanco;;;Alistamiento;;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;sin rubro;matriz_k55
48;1;Unidades;VAR;VAR;;BOWTHURSTER QUICK DOBLE HELICE 6,5 KW 250MM 12V;bowthurster quick doble helice 6,5 kw 250mm 12v;;Flojumar;Alistamiento;Electricidad;True;;;;;Sistema/Plano: Alistamiento;clasificacion VAR | posible marca/variante;revisar_no_matriz
59;4;Unidades;OPC;OPC;;Cable alargue Quick 12 metros;cable alargue quick 12 metros;;Flojumar;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;clasificacion OPC | posible marca/variante;revisar_no_matriz
61;2;Unidades;OPC;OPC;;Cable y derivacion 2 estaciones Quick;cable y derivacion 2 estaciones quick;;Flojumar;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;clasificacion OPC | posible marca/variante;revisar_no_matriz
66;4;Unidades;STD;STD;;Cabos 18mm x 12m negro;cabos 18mm x 12m negro;;;Alistamiento;;False;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
74;1;Unidades;STD;STD;;Canilla de bacha flybridge;canilla de bacha flybridge;;Baron;Sist. Agua;;False;;;;;Sistema/Plano: Sist. Agua;sin rubro;matriz_k55
85;1;Unidades;STD;STD;;Catalina de fondeo K55;catalina de fondeo k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
88;7;Unidades;VAR;VAR;;Cerraduras de puertas BRONZEN (K55);cerraduras de puertas bronzen (k55);;;Muebles;;False;Comprar;NO VA;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=Comprar; 55-2=NO VA";clasificacion VAR | sin rubro;revisar_no_matriz
89;6;Unidades;VAR;VAR;;Cerraduras de puertas BRONZEN (K55) - OPCIONAL sin vestidor;cerraduras de puertas bronzen (k55) - opcional sin vestidor;;;Muebles;;False;NO VA;Comprar;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=NO VA; 55-2=Comprar";clasificacion VAR | sin rubro;revisar_no_matriz
90;1;Unidades;STD;STD;;Cerramiento completo (Lona);cerramiento completo (lona);;;Alistamiento;;True;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
92;1;Unidades;STD;STD;;Chapa de proa K55;chapa de proa k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
103;2;Unidades;STD;STD;;Compas magnético reglamentario (negro);compas magnetico reglamentario (negro);;;Alistamiento;;False;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
104;11;Unidades;STD;STD;;"Conector ""T"" c/espiga WHALE WX1521";"conector ""t"" c/espiga whale wx1521";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
105;21;Unidades;STD;STD;;"Conector ""T"" WHALE WX1502";"conector ""t"" whale wx1502";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
106;10;Unidades;STD;STD;;Conector Codo c/espiga WHALE WX1522;conector codo c/espiga whale wx1522;;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
107;6;Unidades;STD;STD;;Conector Codo WHALE WX1503;conector codo whale wx1503;;Trimer;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
109;1;Unidades;VAR;VAR;;Control con indicador segunda estacion Lenco;control con indicador segunda estacion lenco;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;clasificacion VAR;revisar_no_matriz
110;1;Unidades;VAR;VAR;;Control faro segunda estacion Marinco;control faro segunda estacion marinco;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;clasificacion VAR;revisar_no_matriz
127;6;Unidades;STD;STD;;Defensas blancas con cabo negro 8mm - 4m;defensas blancas con cabo negro 8mm - 4m;;;Alistamiento;;False;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
128;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Desagues lineales ducha -SOLO BARCO 55-1;desagues lineales ducha -solo barco 55-1;;;Sist. Sanitario;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=Pedido; 55-2=NO VA";solo obra especifica | sin rubro;obra_especifica
132;1;Unidades;OPC;OPC;;DUCHADOR agua de rio;duchador agua de rio;;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;clasificacion OPC;revisar_no_matriz
133;2;Unidades;STD;STD;;Duchador con barral FV Polca;duchador con barral fv polca;;;Sist. Agua;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido; 55-2=NO VA";sin rubro;matriz_k55
134;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Duchador de mano NEGRO + Codo pared;duchador de mano negro + codo pared;;;Sist. Agua;;True;NO VA;Especificar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Especificar";modelo/definicion pendiente | sin rubro;obra_especifica
135;1;Unidades;STD;STD;;Duchador frio calor WHALE Twist;duchador frio calor whale twist;;Flojumar;Sist. Agua;Sanitarios;False;En Chubut;;;;Sistema/Plano: Sist. Agua | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
138;1;Unidades;STD;STD;;Ecosonda;ecosonda;;;Alistamiento;;False;Pedido;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=Pedido;sin rubro;matriz_k55
149;1;Unidades;STD;STD;;Epuyén – Juego monocomando para mesada de cocina (cromado);epuyen – juego monocomando para mesada de cocina (cromado);;;Sist. Agua;;False;Pedido;;;;Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido;sin rubro;matriz_k55
150;1;Unidades;VAR;VAR;;Equipo de audio (elige cliente);equipo de audio (elige cliente);;;Sist. Electrico;;False;Especificar;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | clasificacion VAR | sin rubro;revisar_no_matriz
151;1;Unidades;STD;STD;;Escalera flybridge K55;escalera flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
152;1;Unidades;ADC;ADC;;Estabilizador giroscopo;estabilizador giroscopo;;;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;clasificacion ADC;revisar_no_matriz
153;2;Unidades;STD;STD;;"Extractor Rule 3"" 12V";"extractor rule 3"" 12v";;Trimer;Sist. Sanitario;Electricidad;False;;;;;Sistema/Plano: Sist. Sanitario;posible marca/variante;matriz_k55
154;2;Unidades;STD;STD;;Fabricadora de hielo WHITE ICE ACERO INOXIDABLE;fabricadora de hielo white ice acero inoxidable;;Flojumar;Sist. Electrico;Electricidad;True;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
163;1;Unidades;STD;STD;;Generador Kohler 18EFKOZD/21EKOZD;generador kohler 18efkozd/21ekozd;;Trimer;Sist. Electrico;;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;sin rubro;matriz_k55
164;1;Unidades;STD;STD;;Giratorio gusano cadena 10-12mm;giratorio gusano cadena 10-12mm;;;Alistamiento;;False;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
166;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Heladera BOSCH KIN86ADD0;heladera bosch kin86add0;;;Electrodomesticos;Electricidad;False;NO VA;Pedido;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=NO VA; 55-2=Pedido";posible marca/variante;obra_especifica
167;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Heladera Whirpool WRE25AB PANELABLE - SOLO barco 1;heladera whirpool wre25ab panelable - solo barco 1;;;Electrodomesticos;Electricidad;False;En Chubut;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut;solo obra especifica;obra_especifica
170;1;Unidades;STD;STD;;Horno Samsung NV7B4040VAS/BG;horno samsung nv7b4040vas/bg;;;Electrodomesticos;Electricidad;False;En Chubut;Comprar;Comprar;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut; 55-2=Comprar; 55-3=Comprar";posible marca/variante;matriz_k55
172;1;Unidades;OPC;OPC;;Inodoro electrico (Camarote Marinero), modelo??;inodoro electrico (camarote marinero), modelo1/21/2;;Flojumar;Sist. Sanitario;;True;Especificar;;;;Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | clasificacion OPC | sin rubro;revisar_no_matriz
175;2;Unidades;STD;STD;;Joystick doble Quick italy;joystick doble quick italy;;Flojumar;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
176;2;Unidades;STD;STD;;Juego monocomando para bañera y ducha Epuyén 0106/L2 Cromado;juego monocomando para banera y ducha epuyen 0106/l2 cromado;;;Sist. Agua;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido; 55-2=NO VA";sin rubro;matriz_k55
177;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Juego monocomando para bañera y ducha Epuyén 0106/L2 NEGRO;juego monocomando para banera y ducha epuyen 0106/l2 negro;;;Sist. Agua;;False;NO VA;Comprar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Comprar";sin rubro;obra_especifica
178;2;Unidades;STD;STD;;Juego monocomando para lavatorio Epuyén 0206/L2 Cromado;juego monocomando para lavatorio epuyen 0206/l2 cromado;;;Sist. Agua;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido; 55-2=NO VA";sin rubro;matriz_k55
179;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Juego monocomando para lavatorio Epuyén 0206/L2 Negro;juego monocomando para lavatorio epuyen 0206/l2 negro;;;Sist. Agua;;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";sin rubro;obra_especifica
180;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Lavaropas LG inverter carga frontal;lavaropas lg inverter carga frontal;;;Electrodomesticos;Electricidad;False;NO VA;Comprar;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=NO VA; 55-2=Comprar";posible marca/variante;obra_especifica
181;1;Unidades;55-1/2;OBRA_ESPECIFICA;55-1;Lavavajillas Bosch SMV2ITX09E;lavavajillas bosch smv2itx09e;;;Electrodomesticos;Electricidad;False;En Chubut;Comprar;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut; 55-2=Comprar";posible marca/variante;obra_especifica
182;2;Unidades;STD;STD;;Limpia Parabrisas pantograficos;limpia parabrisas pantograficos;;Tableros Costa;Sist. Electrico;;False;En Chubut;Especificar;;;"Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut; 55-2=Especificar";modelo/definicion pendiente | sin rubro;revisar_no_matriz
185;4;Unidades;STD;STD;;Llave de paso Whale WX1573;llave de paso whale wx1573;;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
186;6;Unidades;OPC;OPC;;Luces bajo agua Azul/Blanco;luces bajo agua azul/blanco;;;;;False;;;;;;clasificacion OPC | sin rubro;revisar_no_matriz
187;6;Unidades;STD;STD;;Luces de lectura;luces de lectura;;;;;False;;;;;;sin rubro;matriz_k55
188;1;Unidades;OPC;OPC;;Luces de lectura;luces de lectura;;;;;False;;;;;;clasificacion OPC | sin rubro;revisar_no_matriz
195;1;Unidades;STD;STD;;Malacate Quick italy 1500 watts 12v acero inoxidable;malacate quick italy 1500 watts 12v acero inoxidable;;Flojumar;Alistamiento;Electricidad;False;Revisar;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=Revisar;posible marca/variante;matriz_k55
199;1;Unidades;STD;STD;;Mesa ratona en salon, EL LINK ES UN EJEMPLO;mesa ratona en salon, el link es un ejemplo;;MercadoLibre;Muebles;Carpinteria;False;Especificar;;;;Sistema/Plano: Muebles | Estado por obra: 55-1=Especificar;modelo/definicion pendiente;revisar_no_matriz
200;1;Unidades;VAR;VAR;;Microondas SAMSUNG MG23F3K3TAS/BG GRILL;microondas samsung mg23f3k3tas/bg grill;;;Electrodomesticos;Electricidad;False;Pedido;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=Pedido;clasificacion VAR | posible marca/variante;revisar_no_matriz
205;5;Unidades;STD;STD;;Ojo de buey;ojo de buey;;;;;False;;;;;;sin rubro;matriz_k55
206;5;Unidades;STD;STD;;Panel bomba de achique Johnson pump;panel bomba de achique johnson pump;;Flojumar;Sist. Electrico;Sanitarios;False;;;;;Sistema/Plano: Sist. Electrico;posible marca/variante;matriz_k55
208;1;Unidades;STD;STD;;Pantalla tactil de timonera interior, modelo?? accesorios??;pantalla tactil de timonera interior, modelo1/21/2 accesorios1/21/2;;;Alistamiento;;True;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
209;1;Unidades;OPC;OPC;;"Pasacasco 1/2"" bronce";"pasacasco 1/2"" bronce";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;clasificacion OPC;revisar_no_matriz
210;1;Unidades;STD;STD;;Pasamanos escalera flybridge K55;pasamanos escalera flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
211;13;Unidades;STD;STD;;Pasamanos varios K55;pasamanos varios k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
212;4;Unidades;STD;STD;;Percha Epuyén 0166/L2 Cromado;percha epuyen 0166/l2 cromado;;;Sist. Agua;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido; 55-2=NO VA";sin rubro;matriz_k55
213;4;Unidades;55-2;OBRA_ESPECIFICA;55-2;Percha Epuyén 0166/L2 Negro;percha epuyen 0166/l2 negro;;;Sist. Agua;;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";sin rubro;obra_especifica
214;110;Metros;STD;STD;;Perfil aluminio tira LED;perfil aluminio tira led;;MercadoLibre;Sist. Electrico;;False;;;;;Sistema/Plano: Sist. Electrico;sin rubro;matriz_k55
215;110;Unidades;STD;STD;;Perfiles de aluminio para tiras led;perfiles de aluminio para tiras led;;MercadoLibre;Sist. Electrico;;False;Especificar;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | sin rubro;revisar_no_matriz
216;12;Unidades;OPC;OPC;;Picaportes Currao SARDEGNA - ver color;picaportes currao sardegna - ver color;;;Muebles;;False;NO VA;Comprar;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=NO VA; 55-2=Comprar";clasificacion OPC | sin rubro | posible marca/variante;revisar_no_matriz
217;14;Unidades;STD;STD;;Picaportes Currao SARDEGNA - ver color;picaportes currao sardegna - ver color;;;Muebles;;False;Comprar;NO VA;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=Comprar; 55-2=NO VA";sin rubro | posible marca/variante;matriz_k55
218;1;Unidades;55-1, OPC;MIXTO;55-1;Piloto automàtico;piloto automatico;;;Alistamiento;Electricidad;False;Pedido;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=Pedido;clasificacion MIXTO;revisar_no_matriz
222;1;Unidades;STD;STD;;Plotter de flybridge STD, modelo?? accesorios??;plotter de flybridge std, modelo1/21/2 accesorios1/21/2;;;Alistamiento;;True;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
224;2;Unidades;STD;STD;;Portarrollo Epuyén 0167/L2 Cromado;portarrollo epuyen 0167/l2 cromado;;;Sist. Agua;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido; 55-2=NO VA";sin rubro;matriz_k55
225;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Portarrollo Epuyén 0167/L2 Negro;portarrollo epuyen 0167/l2 negro;;;Sist. Agua;;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";sin rubro;obra_especifica
227;1;Unidades;OPC;OPC;;Prefiltro duchador rio;prefiltro duchador rio;;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;clasificacion OPC;revisar_no_matriz
228;2;Unidades;STD;STD;;Puertitas cockpit K55;puertitas cockpit k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
230;1;Unidades;OPC;OPC;;"Racor 1/2"" bronce";"racor 1/2"" bronce";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;clasificacion OPC;revisar_no_matriz
244;1;Unidades;STD;STD;;Radio VHF;radio vhf;;;Alistamiento;;False;Pedido;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=Pedido;sin rubro;matriz_k55
251;2;Unidades;STD;STD;;Resorte a gas para escalera - MODELO A DEFINIR;resorte a gas para escalera - modelo a definir;;;Muebles;Carpinteria;True;Especificar;Especificar;Especificar;Especificar;"Sistema/Plano: Muebles | Estado por obra: 55-1=Especificar; 55-2=Especificar; 55-3=Especificar; 55-4=Especificar";modelo/definicion pendiente;revisar_no_matriz
256;2;Unidades;STD;STD;;Sapito desagote ancla;sapito desagote ancla;;Baron;;;False;;;;;;sin rubro;matriz_k55
265;1;Unidades;STD;STD;;Solenoide Quick italy 12v;solenoide quick italy 12v;;Flojumar;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
271;3;Unidades;STD;STD;;Soportes tapiceria banco cockpit K55;soportes tapiceria banco cockpit k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
272;7;Unidades;STD;STD;;Soportes tapiceria banco proa K55;soportes tapiceria banco proa k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
273;13;Unidades;STD;STD;;Soportes tapiceria flybridge K55;soportes tapiceria flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
274;1;Unidades;STD;STD;;Stern thurster Quick doble helice 6,5kw 250mm 12v;stern thurster quick doble helice 6,5kw 250mm 12v;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
277;2;Unidades;STD;STD;;Tableros electricos COSTA;tableros electricos costa;;;Sist. Electrico;;False;Especificar;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | sin rubro;revisar_no_matriz
279;1;Unidades;STD;STD;;Tambucho de proa - Cuadrado 60x60cm;tambucho de proa - cuadrado 60x60cm;;;Alistamiento;;False;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
280;1;Unidades;STD;STD;;Tanque acumulador presion Flojet-Jabsco;tanque acumulador presion flojet-jabsco;;Flojumar;Sist. Agua;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Agua | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
281;2;Unidades;STD;STD;;Tanques de agua;tanques de agua;;Astillero;Sist. Agua;;False;;;;;Sistema/Plano: Sist. Agua;sin rubro | proveedor astillero=fabricacion interna;matriz_k55
282;2;Unidades;STD;STD;;Tanques de combustible con visor;tanques de combustible con visor;;Astillero;Sist. Combustible;;False;Especificar;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | sin rubro | proveedor astillero=fabricacion interna;revisar_no_matriz
288;2;Unidades;55-1/2/3;OBRA_ESPECIFICA;55-1;Tender lift OPACMARE 5220_90_09;tender lift opacmare 5220_90_09;;;Alistamiento;;False;En Chubut;Revisar;Revisar;NO VA;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut; 55-2=Revisar; 55-3=Revisar; 55-4=NO VA";sin rubro;obra_especifica
289;2;Unidades;STD;STD;;Tender lift OPACMARE 5222/90.04;tender lift opacmare 5222/90.04;;;Alistamiento;;False;NO VA;NO VA;NO VA;Pedido;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=NO VA; 55-2=NO VA; 55-3=NO VA; 55-4=Pedido";sin rubro;matriz_k55
293;2;Unidades;STD;STD;;Toallero Epuyén 0163/L2 Cromado;toallero epuyen 0163/l2 cromado;;;Sist. Agua;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido; 55-2=NO VA";sin rubro;matriz_k55
294;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Toallero Epuyén 0163/L2 Negro;toallero epuyen 0163/l2 negro;;;Sist. Agua;;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";sin rubro;obra_especifica
301;1;Unidades;STD;STD;;Traba cadena 10-12mm;traba cadena 10-12mm;;;Alistamiento;;False;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
